CHROMOSOME,STRAND,LOCUS_ID,TSS
Chr1,-,LOC_Os01g03144.1,1230507
Chr1,-,LOC_Os01g03380.1,1364303
Chr1,-,LOC_Os01g03390.1,1366503
Chr1,+,LOC_Os01g03490.1,1404155
Chr1,+,LOC_Os01g03510.1,1413839
Chr1,+,LOC_Os01g03520.1,1421693
Chr1,+,LOC_Os01g03160.1,1232473
Chr1,-,LOC_Os01g03310.1,1339139
Chr1,-,LOC_Os01g03320.1,1342277
Chr1,-,LOC_Os01g03340.1,1348786
Chr1,-,LOC_Os01g03040.1,1164635
Chr1,+,LOC_Os01g03050.1,1165737
Chr1,-,LOC_Os01g03750.1,1570939
Chr1,-,LOC_Os01g03760.1,1576753
Chr1,+,LOC_Os01g03820.1,1597486
Chr1,-,LOC_Os01g03870.1,1644237
Chr1,+,LOC_Os01g03890.1,1657315
Chr1,-,LOC_Os01g03900.1,1670997
Chr1,-,LOC_Os01g03940.1,1685880
Chr1,+,LOC_Os01g03950.1,1698203
Chr1,-,LOC_Os01g03980.1,1712947
Chr1,+,LOC_Os01g04020.2,1746418
Chr1,+,LOC_Os01g04030.1,1754332
Chr1,-,LOC_Os01g04050.1,1761135
Chr1,-,LOC_Os01g04080.1,1772410
Chr1,-,LOC_Os01g04090.1,1778105
Chr1,+,LOC_Os01g04100.1,1781075
Chr1,-,LOC_Os01g04110.1,1791498
Chr1,-,LOC_Os01g04120.1,1806267
Chr1,+,LOC_Os01g03549.1,1437163
Chr1,+,LOC_Os01g03570.1,1446849
Chr1,+,LOC_Os01g03620.1,1486400
Chr1,-,LOC_Os01g03630.1,1492684
Chr1,-,LOC_Os01g03640.1,1500609
Chr1,-,LOC_Os01g03650.1,1508057
Chr1,+,LOC_Os01g03670.1,1513136
Chr1,+,LOC_Os01g03680.1,1515837
Chr1,+,LOC_Os01g03710.1,1534135
Chr1,-,LOC_Os01g03720.1,1551011
Chr1,+,LOC_Os01g03730.1,1566138
Chr1,+,LOC_Os01g04200.1,1849834
Chr1,-,LOC_Os01g04500.1,2003916
Chr1,+,LOC_Os01g04540.1,2023879
Chr1,+,LOC_Os01g04570.1,2048717
Chr1,+,LOC_Os01g04590.1,2059309
Chr1,+,LOC_Os01g04250.1,1876913
Chr1,+,LOC_Os01g04260.1,1888524
Chr1,+,LOC_Os01g04280.1,1902736
Chr1,+,LOC_Os01g04324.1,1928166
Chr1,-,LOC_Os01g04330.1,1931904
Chr1,+,LOC_Os01g04340.1,1934117
Chr1,+,LOC_Os01g04350.1,1941003
Chr1,-,LOC_Os01g04360.1,1945035
Chr1,+,LOC_Os01g04380.1,1951928
Chr1,-,LOC_Os01g04390.1,1955925
Chr1,+,LOC_Os01g04160.1,1834110
Chr1,-,LOC_Os01g04170.1,1839194
Chr1,+,LOC_Os01g04190.1,1843869
Chr1,+,LOC_Os01g04800.1,2202264
Chr1,-,LOC_Os01g04814.1,2222837
Chr1,+,LOC_Os01g04860.1,2245732
Chr1,-,LOC_Os01g04870.1,2255073
Chr1,-,LOC_Os01g04900.1,2271051
Chr1,+,LOC_Os01g04910.1,2271163
Chr1,+,LOC_Os01g04920.1,2275067
Chr1,+,LOC_Os01g04950.1,2294510
Chr1,-,LOC_Os01g04600.1,2066083
Chr1,+,LOC_Os01g04660.1,2097192
Chr1,-,LOC_Os01g04670.1,2102672
Chr1,+,LOC_Os01g04710.1,2120381
Chr1,+,LOC_Os01g04720.1,2130798
Chr1,+,LOC_Os01g04730.1,2137763
Chr1,-,LOC_Os01g05064.1,2377980
Chr1,-,LOC_Os01g05070.1,2382690
Chr1,-,LOC_Os01g05080.1,2385638
Chr1,+,LOC_Os01g05090.1,2386373
Chr1,-,LOC_Os01g05100.1,2390483
Chr1,+,LOC_Os01g05130.1,2403270
Chr1,+,LOC_Os01g05150.1,2414271
Chr1,+,LOC_Os01g05170.1,2422242
Chr1,+,LOC_Os01g05310.1,2500280
Chr1,-,LOC_Os01g05380.1,2542732
Chr1,+,LOC_Os01g05420.1,2560858
Chr1,-,LOC_Os01g05470.1,2583575
Chr1,-,LOC_Os01g05480.3,2589023
Chr1,-,LOC_Os01g05490.1,2593641
Chr1,-,LOC_Os01g04990.1,2353502
Chr1,-,LOC_Os01g05010.1,2360444
Chr1,+,LOC_Os01g05610.1,2674400
Chr1,+,LOC_Os01g05630.1,2686729
Chr1,-,LOC_Os01g05640.1,2692186
Chr1,-,LOC_Os01g05650.1,2695085
Chr1,-,LOC_Os01g05670.1,2711428
Chr1,+,LOC_Os01g05744.1,2742507
Chr1,+,LOC_Os01g05800.1,2770140
Chr1,+,LOC_Os01g05830.1,2791224
Chr1,+,LOC_Os01g05840.2,2800436
Chr1,+,LOC_Os01g05860.1,2805584
Chr1,+,LOC_Os01g05870.1,2810313
Chr1,-,LOC_Os01g05510.2,2623196
Chr1,-,LOC_Os01g06050.1,2894707
Chr1,+,LOC_Os01g06130.2,2922738
Chr1,+,LOC_Os01g06140.1,2925935
Chr1,+,LOC_Os01g06150.1,2930802
Chr1,-,LOC_Os01g06320.1,3005728
Chr1,+,LOC_Os01g06400.1,3031479
Chr1,-,LOC_Os01g06454.1,3044348
Chr1,+,LOC_Os01g06460.1,3044483
Chr1,-,LOC_Os01g06270.1,2979313
Chr1,+,LOC_Os01g06280.2,2982483
Chr1,-,LOC_Os01g06290.1,2989246
Chr1,+,LOC_Os01g05960.1,2839934
Chr1,+,LOC_Os01g06620.1,3122888
Chr1,-,LOC_Os01g06630.1,3125325
Chr1,+,LOC_Os01g06640.1,3128992
Chr1,-,LOC_Os01g06660.1,3140217
Chr1,-,LOC_Os01g06670.1,3146812
Chr1,+,LOC_Os01g06730.1,3181950
Chr1,+,LOC_Os01g06876.1,3256822
Chr1,+,LOC_Os01g06882.1,3257944
Chr1,+,LOC_Os01g06920.1,3282976
Chr1,-,LOC_Os01g06960.1,3291611
Chr1,-,LOC_Os01g07030.1,3313273
Chr1,-,LOC_Os01g07040.1,3315609
Chr1,+,LOC_Os01g06490.1,3054465
Chr1,+,LOC_Os01g06510.1,3060994
Chr1,-,LOC_Os01g06520.1,3071243
Chr1,-,LOC_Os01g06550.1,3090887
Chr1,-,LOC_Os01g06560.1,3092865
Chr1,-,LOC_Os01g06590.2,3105235
Chr1,-,LOC_Os01g07110.1,3355066
Chr1,+,LOC_Os01g07120.1,3357287
Chr1,-,LOC_Os01g07130.1,3360676
Chr1,-,LOC_Os01g07310.1,3450222
Chr1,-,LOC_Os01g07330.1,3464954
Chr1,+,LOC_Os01g07200.1,3397337
Chr1,+,LOC_Os01g07250.1,3422011
Chr1,-,LOC_Os01g07260.1,3429654
Chr1,-,LOC_Os01g07480.2,3552990
Chr1,-,LOC_Os01g07520.1,3596154
Chr1,-,LOC_Os01g07530.1,3602211
Chr1,-,LOC_Os01g07570.1,3639164
Chr1,+,LOC_Os01g07600.1,3652273
Chr1,+,LOC_Os01g07610.1,3661688
Chr1,-,LOC_Os01g07620.1,3666046
Chr1,-,LOC_Os01g07630.1,3673065
Chr1,-,LOC_Os01g07700.1,3699805
Chr1,-,LOC_Os01g07720.4,3709016
Chr1,-,LOC_Os01g07360.2,3477924
Chr1,-,LOC_Os01g07370.1,3484579
Chr1,-,LOC_Os01g07376.1,3491991
Chr1,-,LOC_Os01g07382.1,3496598
Chr1,+,LOC_Os01g07390.1,3501094
Chr1,+,LOC_Os01g07400.1,3505665
Chr1,+,LOC_Os01g07410.1,3511835
Chr1,-,LOC_Os01g07420.1,3519175
Chr1,+,LOC_Os01g12190.1,6649789
Chr1,+,LOC_Os01g12200.1,6653077
Chr1,+,LOC_Os01g12210.1,6659149
Chr1,-,LOC_Os01g13000.1,7225223
Chr1,-,LOC_Os01g13024.1,7246003
Chr1,+,LOC_Os01g13030.1,7249761
Chr1,-,LOC_Os01g13740.1,7693987
Chr1,+,LOC_Os01g13760.1,7712339
Chr1,-,LOC_Os01g13770.1,7722451
Chr1,-,LOC_Os01g12250.1,6696795
Chr1,-,LOC_Os01g12260.1,6703371
Chr1,+,LOC_Os01g14820.1,8284418
Chr1,+,LOC_Os01g14840.1,8297586
Chr1,-,LOC_Os01g14850.1,8306555
Chr1,+,LOC_Os01g13040.1,7259786
Chr1,+,LOC_Os01g13060.2,7265228
Chr1,-,LOC_Os01g11230.1,6009027
Chr1,-,LOC_Os01g11240.1,6011894
Chr1,-,LOC_Os01g11250.1,6022156
Chr1,+,LOC_Os01g11260.1,6025074
Chr1,-,LOC_Os01g11270.1,6032833
Chr1,+,LOC_Os01g13780.1,7724283
Chr1,+,LOC_Os01g13800.1,7739074
Chr1,-,LOC_Os01g12320.1,6728626
Chr1,+,LOC_Os01g12330.1,6732152
Chr1,-,LOC_Os01g13080.1,7280250
Chr1,-,LOC_Os01g11300.1,6059109
Chr1,-,LOC_Os01g11350.1,6096528
Chr1,-,LOC_Os01g12390.1,6770164
Chr1,+,LOC_Os01g12420.1,6787075
Chr1,+,LOC_Os01g12440.1,6813714
Chr1,+,LOC_Os01g13090.2,7281734
Chr1,-,LOC_Os01g11430.1,6142129
Chr1,-,LOC_Os01g11460.1,6173186
Chr1,+,LOC_Os01g13930.1,7804166
Chr1,-,LOC_Os01g13940.1,7810972
Chr1,-,LOC_Os01g12480.1,6843538
Chr1,+,LOC_Os01g12530.1,6889351
Chr1,+,LOC_Os01g13120.1,7297672
Chr1,+,LOC_Os01g13130.1,7302368
Chr1,-,LOC_Os01g11550.1,6224329
Chr1,-,LOC_Os01g11570.1,6244969
Chr1,+,LOC_Os01g14010.1,7847742
Chr1,+,LOC_Os01g14020.1,7852645
Chr1,+,LOC_Os01g14030.1,7856373
Chr1,-,LOC_Os01g14050.1,7867812
Chr1,+,LOC_Os01g13150.1,7325145
Chr1,+,LOC_Os01g13160.1,7333691
Chr1,+,LOC_Os01g13190.1,7348563
Chr1,+,LOC_Os01g11620.1,6267440
Chr1,+,LOC_Os01g11650.1,6278493
Chr1,+,LOC_Os01g14070.1,7876233
Chr1,-,LOC_Os01g14080.1,7882632
Chr1,+,LOC_Os01g14090.1,7891541
Chr1,+,LOC_Os01g12550.1,6904506
Chr1,-,LOC_Os01g13200.1,7357620
Chr1,-,LOC_Os01g13210.1,7366111
Chr1,+,LOC_Os01g11700.1,6304802
Chr1,-,LOC_Os01g14100.1,7900874
Chr1,-,LOC_Os01g12560.1,6912131
Chr1,-,LOC_Os01g12580.1,6923336
Chr1,-,LOC_Os01g12640.1,6958745
Chr1,+,LOC_Os01g12650.1,6967620
Chr1,+,LOC_Os01g13270.1,7400509
Chr1,-,LOC_Os01g13280.1,7409640
Chr1,+,LOC_Os01g11730.1,6340836
Chr1,+,LOC_Os01g11740.1,6352582
Chr1,-,LOC_Os01g14220.1,7974941
Chr1,-,LOC_Os01g12660.1,6976710
Chr1,+,LOC_Os01g12670.1,6979613
Chr1,-,LOC_Os01g13350.1,7443252
Chr1,-,LOC_Os01g11810.1,6391467
Chr1,+,LOC_Os01g11820.1,6394268
Chr1,-,LOC_Os01g11850.1,6410872
Chr1,+,LOC_Os01g12690.1,7009033
Chr1,-,LOC_Os01g13360.1,7447196
Chr1,-,LOC_Os01g13370.1,7453683
Chr1,+,LOC_Os01g13390.1,7457835
Chr1,-,LOC_Os01g13404.1,7465533
Chr1,+,LOC_Os01g11860.1,6412786
Chr1,+,LOC_Os01g11880.1,6432336
Chr1,+,LOC_Os01g12710.1,7024297
Chr1,+,LOC_Os01g12720.1,7038103
Chr1,+,LOC_Os01g12730.1,7043932
Chr1,-,LOC_Os01g13430.1,7482824
Chr1,+,LOC_Os01g13440.1,7484910
Chr1,-,LOC_Os01g13460.1,7498391
Chr1,+,LOC_Os01g13470.1,7506213
Chr1,+,LOC_Os01g13490.1,7519617
Chr1,+,LOC_Os01g11910.1,6462706
Chr1,-,LOC_Os01g11946.1,6507149
Chr1,+,LOC_Os01g14410.1,8061858
Chr1,+,LOC_Os01g12760.1,7061344
Chr1,+,LOC_Os01g12770.1,7071481
Chr1,-,LOC_Os01g12800.1,7089194
Chr1,+,LOC_Os01g13530.1,7557172
Chr1,-,LOC_Os01g11952.1,6514891
Chr1,-,LOC_Os01g11960.1,6521046
Chr1,-,LOC_Os01g14510.1,8128193
Chr1,+,LOC_Os01g14514.1,8130247
Chr1,-,LOC_Os01g14520.1,8135454
Chr1,-,LOC_Os01g14530.1,8148059
Chr1,+,LOC_Os01g14550.1,8159849
Chr1,-,LOC_Os01g12820.1,7097654
Chr1,-,LOC_Os01g12830.2,7103266
Chr1,+,LOC_Os01g13540.1,7571236
Chr1,-,LOC_Os01g13550.1,7582923
Chr1,+,LOC_Os01g13560.1,7588191
Chr1,-,LOC_Os01g13570.1,7592760
Chr1,+,LOC_Os01g11970.1,6523637
Chr1,+,LOC_Os01g11980.1,6525486
Chr1,+,LOC_Os01g11990.1,6528797
Chr1,+,LOC_Os01g12000.1,6534609
Chr1,+,LOC_Os01g12020.1,6541005
Chr1,-,LOC_Os01g14610.2,8183095
Chr1,-,LOC_Os01g12840.1,7109141
Chr1,+,LOC_Os01g12880.1,7129149
Chr1,-,LOC_Os01g13610.1,7624561
Chr1,-,LOC_Os01g13660.1,7656854
Chr1,-,LOC_Os01g12070.1,6568151
Chr1,-,LOC_Os01g12080.1,6577171
Chr1,+,LOC_Os01g14630.1,8191077
Chr1,-,LOC_Os01g14670.1,8206969
Chr1,+,LOC_Os01g14700.1,8229362
Chr1,-,LOC_Os01g12900.1,7167419
Chr1,+,LOC_Os01g13700.1,7670066
Chr1,-,LOC_Os01g13720.1,7678867
Chr1,-,LOC_Os01g12100.1,6587940
Chr1,-,LOC_Os01g12110.1,6592136
Chr1,-,LOC_Os01g12160.1,6630462
Chr1,+,LOC_Os01g14790.1,8269588
Chr1,+,LOC_Os01g14810.1,8275474
Chr1,+,LOC_Os01g12950.2,7197022
Chr1,-,LOC_Os01g10150.1,5335518
Chr1,-,LOC_Os01g11150.1,5972489
Chr1,-,LOC_Os01g11160.1,5985875
Chr1,-,LOC_Os01g08510.1,4213302
Chr1,+,LOC_Os01g09252.1,4688108
Chr1,+,LOC_Os01g10210.1,5373582
Chr1,-,LOC_Os01g10250.1,5394414
Chr1,+,LOC_Os01g07730.1,3711212
Chr1,-,LOC_Os01g08550.1,4249851
Chr1,+,LOC_Os01g08560.2,4253838
Chr1,-,LOC_Os01g09280.1,4718746
Chr1,+,LOC_Os01g09300.1,4726659
Chr1,+,LOC_Os01g10280.1,5406007
Chr1,-,LOC_Os01g07750.1,3723166
Chr1,-,LOC_Os01g07760.2,3728603
Chr1,-,LOC_Os01g08580.1,4276333
Chr1,-,LOC_Os01g08600.1,4283625
Chr1,-,LOC_Os01g09310.1,4737606
Chr1,-,LOC_Os01g09320.1,4744591
Chr1,+,LOC_Os01g07780.1,3735829
Chr1,-,LOC_Os01g07800.2,3742067
Chr1,-,LOC_Os01g08660.1,4315834
Chr1,-,LOC_Os01g08670.1,4318780
Chr1,-,LOC_Os01g08680.2,4326342
Chr1,+,LOC_Os01g08690.1,4326578
Chr1,-,LOC_Os01g09384.1,4782706
Chr1,-,LOC_Os01g09420.1,4798479
Chr1,-,LOC_Os01g10290.1,5416935
Chr1,+,LOC_Os01g10300.1,5417184
Chr1,+,LOC_Os01g07850.1,3779634
Chr1,+,LOC_Os01g07870.1,3804528
Chr1,+,LOC_Os01g09450.1,4816845
Chr1,-,LOC_Os01g09460.1,4823129
Chr1,+,LOC_Os01g09470.1,4826590
Chr1,-,LOC_Os01g10340.1,5442651
Chr1,+,LOC_Os01g10350.1,5442857
Chr1,-,LOC_Os01g10370.1,5455691
Chr1,-,LOC_Os01g07900.1,3819782
Chr1,-,LOC_Os01g07910.1,3824523
Chr1,-,LOC_Os01g09500.1,4852193
Chr1,+,LOC_Os01g09510.4,4852558
Chr1,-,LOC_Os01g09540.1,4873806
Chr1,-,LOC_Os01g09550.1,4885949
Chr1,+,LOC_Os01g10400.1,5478476
Chr1,+,LOC_Os01g10430.1,5493186
Chr1,-,LOC_Os01g07930.1,3831846
Chr1,-,LOC_Os01g07940.1,3838211
Chr1,+,LOC_Os01g07950.1,3842753
Chr1,+,LOC_Os01g09560.1,4891516
Chr1,+,LOC_Os01g09570.1,4905501
Chr1,-,LOC_Os01g10470.1,5541520
Chr1,-,LOC_Os01g10504.1,5568844
Chr1,-,LOC_Os01g07960.3,3849671
Chr1,-,LOC_Os01g07970.1,3856060
Chr1,-,LOC_Os01g08000.2,3874321
Chr1,+,LOC_Os01g08010.1,3875761
Chr1,-,LOC_Os01g09590.1,4919224
Chr1,-,LOC_Os01g10530.2,5599234
Chr1,+,LOC_Os01g10580.1,5639769
Chr1,+,LOC_Os01g08090.1,3917918
Chr1,+,LOC_Os01g08770.1,4397652
Chr1,-,LOC_Os01g09620.1,4951126
Chr1,-,LOC_Os01g09640.1,4973555
Chr1,+,LOC_Os01g09665.1,4980670
Chr1,-,LOC_Os01g09670.1,4985143
Chr1,-,LOC_Os01g10610.1,5671470
Chr1,-,LOC_Os01g10630.1,5679551
Chr1,+,LOC_Os01g10640.1,5685594
Chr1,+,LOC_Os01g08130.1,3932329
Chr1,+,LOC_Os01g08170.1,3958210
Chr1,+,LOC_Os01g08190.1,3976431
Chr1,-,LOC_Os01g08780.1,4407292
Chr1,+,LOC_Os01g08810.1,4421318
Chr1,-,LOC_Os01g08814.1,4426884
Chr1,-,LOC_Os01g09740.1,5020150
Chr1,-,LOC_Os01g10680.1,5707758
Chr1,-,LOC_Os01g10690.1,5724184
Chr1,+,LOC_Os01g08830.1,4434089
Chr1,+,LOC_Os01g08850.1,4444670
Chr1,-,LOC_Os01g08860.1,4449876
Chr1,-,LOC_Os01g09750.2,5025704
Chr1,+,LOC_Os01g09760.1,5028289
Chr1,-,LOC_Os01g09790.1,5055753
Chr1,-,LOC_Os01g09800.1,5065236
Chr1,+,LOC_Os01g10790.1,5760481
Chr1,+,LOC_Os01g10810.1,5768209
Chr1,+,LOC_Os01g10830.1,5773300
Chr1,-,LOC_Os01g10840.1,5778466
Chr1,+,LOC_Os01g08200.1,3986612
Chr1,-,LOC_Os01g08220.1,4004946
Chr1,+,LOC_Os01g08950.1,4493365
Chr1,+,LOC_Os01g08970.1,4497719
Chr1,+,LOC_Os01g09830.1,5085833
Chr1,+,LOC_Os01g09850.1,5099501
Chr1,-,LOC_Os01g10890.1,5811617
Chr1,-,LOC_Os01g10900.1,5819207
Chr1,-,LOC_Os01g08270.1,4057690
Chr1,-,LOC_Os01g09000.1,4520613
Chr1,-,LOC_Os01g09870.1,5128667
Chr1,-,LOC_Os01g09880.1,5132918
Chr1,+,LOC_Os01g09900.1,5148694
Chr1,-,LOC_Os01g10930.1,5830832
Chr1,-,LOC_Os01g10950.1,5839898
Chr1,+,LOC_Os01g08280.1,4059510
Chr1,-,LOC_Os01g08310.1,4070372
Chr1,+,LOC_Os01g09010.1,4527986
Chr1,+,LOC_Os01g09020.1,4534021
Chr1,+,LOC_Os01g09030.1,4542296
Chr1,+,LOC_Os01g09990.1,5201862
Chr1,-,LOC_Os01g11010.1,5877849
Chr1,+,LOC_Os01g11040.1,5890605
Chr1,+,LOC_Os01g11054.1,5899555
Chr1,+,LOC_Os01g08370.1,4106828
Chr1,-,LOC_Os01g08380.1,4112127
Chr1,+,LOC_Os01g08400.1,4118041
Chr1,+,LOC_Os01g08410.1,4123420
Chr1,+,LOC_Os01g09080.1,4566304
Chr1,+,LOC_Os01g09090.1,4571784
Chr1,-,LOC_Os01g09120.1,4584690
Chr1,+,LOC_Os01g11070.1,5911503
Chr1,+,LOC_Os01g11110.2,5921759
Chr1,-,LOC_Os01g11120.1,5939527
Chr1,-,LOC_Os01g08440.1,4154680
Chr1,-,LOC_Os01g08464.1,4177259
Chr1,+,LOC_Os01g09190.1,4614882
Chr1,+,LOC_Os01g09230.1,4650095
Chr1,+,LOC_Os01g10080.2,5258256
Chr1,-,LOC_Os01g10130.1,5293325
Chr1,-,LOC_Os01g10140.2,5318623
Chr1,-,LOC_Os01g19840.1,11251232
Chr1,+,LOC_Os01g19870.1,11272155
Chr1,+,LOC_Os01g19880.1,11283364
Chr1,-,LOC_Os01g23990.1,13508882
Chr1,+,LOC_Os01g21580.1,12074499
Chr1,-,LOC_Os01g21585.1,12078670
Chr1,+,LOC_Os01g21610.1,12108869
Chr1,+,LOC_Os01g21630.1,12117107
Chr1,+,LOC_Os01g19940.1,11316601
Chr1,+,LOC_Os01g24060.1,13560832
Chr1,-,LOC_Os01g21670.1,12161768
Chr1,+,LOC_Os01g18880.2,10675167
Chr1,+,LOC_Os01g22900.1,12870228
Chr1,+,LOC_Os01g19970.1,11350507
Chr1,-,LOC_Os01g21740.1,12204078
Chr1,-,LOC_Os01g21820.1,12248213
Chr1,-,LOC_Os01g19020.1,10750234
Chr1,-,LOC_Os01g22980.1,12919210
Chr1,-,LOC_Os01g22990.1,12924802
Chr1,+,LOC_Os01g20110.1,11412131
Chr1,-,LOC_Os01g20120.1,11430996
Chr1,-,LOC_Os01g21850.1,12263046
Chr1,-,LOC_Os01g19120.1,10804527
Chr1,-,LOC_Os01g19130.1,10808081
Chr1,-,LOC_Os01g19140.2,10818530
Chr1,-,LOC_Os01g20160.1,11463442
Chr1,-,LOC_Os01g21940.1,12309435
Chr1,-,LOC_Os01g19160.1,10822413
Chr1,+,LOC_Os01g19150.2,10822583
Chr1,+,LOC_Os01g20780.1,11585607
Chr1,+,LOC_Os01g20830.1,11610848
Chr1,+,LOC_Os01g21960.1,12326486
Chr1,-,LOC_Os01g21970.1,12337227
Chr1,-,LOC_Os01g22000.1,12353063
Chr1,-,LOC_Os01g22010.3,12366314
Chr1,+,LOC_Os01g20840.1,11618335
Chr1,+,LOC_Os01g20890.1,11662723
Chr1,+,LOC_Os01g19220.1,10871371
Chr1,+,LOC_Os01g19260.1,10891810
Chr1,-,LOC_Os01g23380.1,13144941
Chr1,-,LOC_Os01g20894.1,11667716
Chr1,+,LOC_Os01g19330.1,10934895
Chr1,+,LOC_Os01g19400.1,10977180
Chr1,+,LOC_Os01g20940.1,11693809
Chr1,-,LOC_Os01g20950.1,11704653
Chr1,+,LOC_Os01g22249.1,12509592
Chr1,-,LOC_Os01g19410.3,10983343
Chr1,-,LOC_Os01g19430.1,10991617
Chr1,-,LOC_Os01g19450.1,11006013
Chr1,+,LOC_Os01g23580.1,13237248
Chr1,-,LOC_Os01g23590.1,13262227
Chr1,+,LOC_Os01g22336.1,12551333
Chr1,+,LOC_Os01g22352.1,12564283
Chr1,+,LOC_Os01g22370.1,12578189
Chr1,-,LOC_Os01g22390.2,12594761
Chr1,-,LOC_Os01g19470.1,11038870
Chr1,+,LOC_Os01g23600.1,13264930
Chr1,+,LOC_Os01g23610.1,13272614
Chr1,+,LOC_Os01g21130.1,11792473
Chr1,-,LOC_Os01g21144.1,11803815
Chr1,-,LOC_Os01g21160.1,11809061
Chr1,+,LOC_Os01g19480.1,11058878
Chr1,-,LOC_Os01g19490.1,11068774
Chr1,+,LOC_Os01g23630.1,13291338
Chr1,+,LOC_Os01g23640.1,13296332
Chr1,+,LOC_Os01g21170.1,11810685
Chr1,-,LOC_Os01g21180.1,11815791
Chr1,-,LOC_Os01g22480.2,12640675
Chr1,-,LOC_Os01g22490.1,12646409
Chr1,-,LOC_Os01g22520.1,12658475
Chr1,-,LOC_Os01g22550.1,12672757
Chr1,-,LOC_Os01g19529.1,11083482
Chr1,-,LOC_Os01g19548.1,11093987
Chr1,-,LOC_Os01g23680.1,13323947
Chr1,-,LOC_Os01g22600.1,12709808
Chr1,+,LOC_Os01g19630.3,11129520
Chr1,+,LOC_Os01g19694.1,11166948
Chr1,+,LOC_Os01g23705.1,13342089
Chr1,+,LOC_Os01g23740.1,13353629
Chr1,+,LOC_Os01g21300.1,11897558
Chr1,-,LOC_Os01g21320.1,11910916
Chr1,+,LOC_Os01g22640.1,12734098
Chr1,+,LOC_Os01g22660.1,12742056
